matchunitid,matchmakingid,evaluation,userid,teamflag,waittime,rank,tier,tsmu,tssigma,level,lineupoverall,usernbagroupid,isai,matchhitid,leaderboard,framerate,isautoplay,rotationoverall,timecheckid,rotationoverallstreet,poolindex,userteamvalue,competitionid,usertaggroupid,rotationoverallsmooth,rotationoverallstreetsmooth,lineupinstanceid
7763937209186999176,4,78,1422582445,1,30392,20,2,193928,9909,110,112,0,0,7763937719080153310,164200,60,0,89,1,112,0,34927360,2060025,0,8900,11200,5
7763936697750349749,4,78,952274602,1,60876,21,2,214008,10644,110,124,0,0,7763937719080153310,182074,60,0,108,2,121,0,125412480,2060025,0,10800,12100,1
7763937112936118738,4,78,704654489,0,36129,15,2,205174,9835,110,117,0,0,7763937719080153310,175669,60,0,110,1,116,0,147896000,2060025,0,11000,11600,12
7763936982644249316,4,78,1790894085,0,43895,23,3,182786,10429,110,113,0,0,7763937719080153310,151497,60,0,108,2,117,0,107845200,2060025,0,10800,11700,1
7763937332650531462,4,208,3789222748,0,23033,84,6,241054,10601,110,98,0,0,7763937719080153311,209250,60,0,94,1,97,1,15886190,2060025,0,9400,9700,1
7763937584744980808,4,92,3796795996,0,8007,45,4,175113,10273,110,116,0,0,7763937719080153309,144292,60,0,85,1,116,0,60461340,2060025,0,8500,11600,13
7763937533188598639,4,92,398217905,1,11080,50,4,213299,10355,110,124,0,0,7763937719080153309,182231,60,0,110,1,118,0,103904000,2060025,0,11000,11800,1
7763937154140952200,4,78,1904173805,1,33673,35,3,212204,10440,110,122,0,0,7763937719080153310,180882,60,0,111,1,118,0,169501200,2060025,0,11100,11800,7
7763935302892603814,4,78,1103757470,0,144016,20,2,230532,9660,110,122,0,0,7763937719080153310,201549,60,0,107,4,116,0,120568300,2060025,0,10700,11600,1
7763936451041392895,4,208,2948192571,0,75581,61,5,205674,10557,110,103,0,0,7763937719080153311,174000,60,0,94,1,101,1,25662720,2060025,0,9400,10100,3
7763937154996586808,4,208,810124372,0,33622,95,6,291213,10403,110,135,0,0,7763937719080153311,260002,60,0,117,1,131,1,884729600,2060025,0,11700,13100,1
7763937417627136923,4,215,3139924782,1,18470,28,3,175192,15691,105,97,7763929517187020454,0,7763937727502315211,128118,60,0,81,1,91,0,4800000,2060025,0,8100,9100,1
7763937417627136923,4,215,1413067461,1,18470,53,4,185067,10577,110,103,7763929517187020454,0,7763937727502315211,153335,60,0,99,1,101,0,47168800,2060025,0,9900,10100,1
7763937401168687258,4,215,1323512878,0,19451,43,4,203010,10697,110,110,0,0,7763937727502315211,170916,60,0,92,1,101,0,8906880,2060025,0,9200,10100,9
7763937556626364595,4,215,1342271768,1,10185,32,3,160503,10544,110,108,0,0,7763937727502315211,128871,60,0,99,1,106,0,39473600,2060025,0,9900,10600,1
