matchunitid,matchmakingid,evaluation,userid,teamflag,waittime,rank,tier,tsmu,tssigma,level,lineupoverall,usernbagroupid,isai,matchhitid,leaderboard,framerate,isautoplay,rotationoverall,timecheckid,rotationoverallstreet,poolindex,userteamvalue,competitionid,usertaggroupid,rotationoverallsmooth,rotationoverallstreetsmooth,lineupinstanceid
7764535615521436368,3,67,2517728663,1,11096,62,6,227865,8287,110,81,0,0,7764535801681421628,203003,60,0,81,1,88,0,3105490,2050025,0,8100,8800,1
7764535686757498560,3,23,2426929444,1,6850,13,2,225493,15656,110,93,0,0,7764535801681421627,178525,60,0,93,1,100,0,17455940,2050025,0,9300,10000,1
7764535323312657006,3,67,3770776835,0,28513,70,6,315961,12649,110,78,0,0,7764535801681421628,278011,60,0,78,1,85,0,3723560,2050025,0,7800,8500,1
7764535641979093949,3,98,376775071,1,11023,57,5,291090,8216,110,96,0,0,7764535826914358086,266441,60,0,96,1,107,0,26629490,2050025,0,9600,10700,1
7764535599801187160,3,98,825791757,0,13537,61,6,232861,8028,110,90,0,0,7764535826914358086,208774,60,0,90,1,96,0,29666640,2050025,0,9000,9600,1
7764535651575669305,3,72,1531612006,1,11449,23,3,187472,11029,107,82,0,0,7764535843658021106,154384,60,0,82,1,86,0,3246080,2050025,0,8200,8600,1
7764535363930292365,3,72,1247661805,0,28594,29,3,207962,8138,110,85,0,0,7764535843658021106,183545,60,0,87,1,96,0,7399520,2050025,0,8700,9600,1
7764535629010320178,3,41,1351632960,0,13293,29,3,286244,8193,110,90,0,0,7764535852029850582,261662,60,0,90,1,97,0,9131180,2050025,0,9000,9700,1
7764535663839806825,3,41,2117280097,1,11217,32,3,242932,8182,110,88,0,0,7764535852029850582,218385,60,0,88,1,94,0,12150570,2050025,0,8800,9400,1
7764535647784012096,3,0,2414393839,0,12671,19,2,199578,8439,110,99,0,0,7764535860368124009,174259,60,0,99,1,108,1,79756590,2050025,0,9740,10800,1
7764535665198772497,3,32,2305806052,0,12131,25,3,189077,8234,110,93,0,0,7764535868723169671,164372,60,0,93,1,101,0,20125800,2050025,0,9300,10100,1
7764535761181212690,3,32,646402238,1,6410,29,3,214851,8261,110,95,0,0,7764535868723169671,190067,60,0,95,1,98,0,48965600,2050025,0,9500,9800,1
7764535744789873939,3,49,1303639198,0,7895,62,6,281153,8276,110,100,0,0,7764535877246000491,256324,60,0,101,1,109,0,21408000,2050025,0,10100,10900,1
7764535752473840320,3,49,604497638,1,7437,59,5,262804,8248,110,104,0,0,7764535877246000491,238059,60,0,104,1,111,0,50602950,2050025,0,10400,11100,1
